0/1;89.76.214.254;2017-03-24 11:42:08
1/2;89.76.214.254;2017-03-24 11:43:32
1/3;89.76.214.254;2017-03-29 03:32:26
1/4;89.76.214.254;2017-03-31 09:16:24
1/5;89.76.214.254;2017-04-05 11:09:26
2/6;89.76.214.254;2017-04-09 06:21:29
2/7;89.76.214.254;2017-04-09 06:27:13
2/8;89.76.214.254;2017-04-10 09:13:54
2/9;89.76.214.254;2017-04-11 03:14:44
2/10;89.76.214.254;2017-04-14 10:44:45
2/11;89.76.214.254;2017-04-14 03:29:03
2/12;89.76.214.254;2017-04-14 05:10:22
2/13;89.76.214.254;2017-04-14 11:04:41
2/14;89.76.214.254;2017-04-15 05:32:08
2/15;89.76.214.254;2017-05-04 09:22:10
3/16;199.30.24.116;2017-05-06 11:32:54
4/17;89.76.214.254;2017-05-12 09:15:23
5/18;64.74.215.174;2017-05-17 10:17:09
6/19;64.74.215.92;2017-05-18 08:02:06
7/20;73.172.246.7;2017-05-21 03:34:14
8/21;89.76.214.254;2017-07-25 05:29:15
8/22;89.76.214.254;2017-07-27 10:15:23
9/23;89.76.214.254;2017-08-01 02:43:23
10/24;192.99.66.150;2017-09-09 09:47:29
11/25;89.76.214.254;2017-09-18 11:13:41
12/26;52.42.97.182;2017-10-02 10:02:41
13/27;52.42.97.182;2017-10-02 10:02:48
14/28;89.76.214.254;2017-10-03 03:18:01
14/29;89.76.214.254;2017-10-03 03:23:00
14/30;89.76.214.254;2017-10-04 11:43:26
15/31;34.215.117.176;2017-10-22 12:33:51
16/32;34.215.117.176;2017-10-22 12:33:58
17/33;89.76.214.254;2017-11-03 10:45:15
17/34;89.76.214.254;2017-11-03 11:02:57
17/35;89.76.214.254;2017-11-21 12:09:25
